Figure number,Matlab script,dataset,location of dataset,Notes
Figure 2,plot_Figures_2_3_S1_S3_S4_S6.m,figure_2_dataset.mat,D:\Github_repos\liu-closed-loop-code\data_sets_used_in_paper,plot_figure=[2]
Figure 3,plot_Figures_2_3_S1_S3_S4_S6.m,figure_3_dataset.mat,D:\Github_repos\liu-closed-loop-code\data_sets_used_in_paper,plot_figure=[3]
Figure 4a,plot_figure_4a.m,figure_4a_dataset,D:\Github_repos\liu-closed-loop-code\data_sets_used_in_paper\figure_4a_dataset,
Figure 4b,plot_figure_4b.m,figure_4b_dataset,D:\Github_repos\liu-closed-loop-code\data_sets_used_in_paper\figure_4b_dataset,
Figure S1,plot_Figures_2_3_S1_S3_S4_S6.m,figure_S1_dataset.mat,D:\Github_repos\liu-closed-loop-code\data_sets_used_in_paper,plot_figure=[11]
Figure S2,plot_figure_S2.m,figure_S2_dataset.mat,D:\Github_repos\liu-closed-loop-code\data_sets_used_in_paper,
Figure S3,plot_Figures_2_3_S1_S3_S4_S6.m,figure_S3_dataset.mat,D:\Github_repos\liu-closed-loop-code\data_sets_used_in_paper,plot_figure=[13]
Figure S4,plot_Figures_2_3_S1_S3_S4_S6.m,figure_S4_dataset.mat,D:\Github_repos\liu-closed-loop-code\data_sets_used_in_paper,plot_figure=[14]
Figure S5,plot_figure_S5.m,figure_S5_dataset,D:\Github_repos\liu-closed-loop-code\data_sets_used_in_paper,
Figure S6,plot_Figures_2_3_S1_S3_S4_S6.m,figure_S6_dataset.mat,D:\Github_repos\liu-closed-loop-code\data_sets_used_in_paper,plot_figure=[16]
,,,,
,,,General instructions:,
,,,"User needs to supply two information to the code: 
1) Load the corresponding dataset file
2) Provide the corresponding figure code to the variable plot_figure 
(For e.g. to generate figure 2, use plot_figure=[2]).",
,,,,
,,,"Figure number and corresponding plot_figure value:
Figure 2=2;
Figure 3=3; 
supplementary fig. S1=11;
supplementary fig. S3=13;
supplementary fig. S4=14; 
supplementary fig. S6=16; ",
